Date,open,high,low,close,volume
2015-04-27,308.21,308.78,304.02,304.69,338900.0
2015-04-28,303.0,306.21,300.99,302.38,378300.0
2015-04-29,301.27,303.12,295.51,300.63,362600.0
2015-04-30,299.54,304.07,295.15,297.31,409000.0
2015-05-01,300.06,301.26,297.54,298.59,312200.0
2015-05-04,299.77,302.39,297.37,300.56,443600.0
2015-05-05,300.0,301.28,297.98,300.69,333100.0
2015-05-06,302.0,302.0,294.89,296.66,400900.0
2015-05-07,297.72,300.67,294.61,298.11,327700.0
2015-05-08,301.62,305.68,301.0,303.3,503000.0
2015-05-11,302.34,305.21,301.16,301.38,378700.0
2015-05-12,299.51,299.51,293.87,296.67,397700.0
2015-05-13,298.54,301.32,296.95,297.74,356600.0
2015-05-14,299.23,301.0,297.79,298.8,314400.0
2015-05-15,299.69,301.36,296.48,297.48,295900.0
2015-05-18,297.0,301.07,296.53,300.48,326200.0
2015-05-19,301.0,303.03,298.84,300.91,226300.0
2015-05-20,301.39,301.39,298.39,300.0,302400.0
2015-05-21,299.19,300.97,296.18,297.2,461700.0
2015-05-22,296.98,301.69,296.54,300.31,339600.0
2015-05-26,300.21,300.4,296.1,297.75,405900.0
2015-05-27,297.98,302.46,297.03,302.28,565100.0
2015-05-28,301.01,304.02,299.43,300.07,405300.0
2015-05-29,299.45,301.27,297.29,298.03,412000.0
2015-06-01,298.83,299.55,296.05,297.14,350600.0
2015-06-02,297.0,299.77,294.37,298.22,421000.0
2015-06-03,299.61,301.26,296.85,299.0,526000.0
2015-06-04,297.4,299.1,294.67,295.19,325500.0
2015-06-05,294.71,297.67,294.07,295.42,204200.0
2015-06-08,295.81,297.23,292.44,295.51,498800.0
2015-06-09,295.47,297.58,290.87,293.53,480900.0
2015-06-10,294.23,301.6,293.48,299.71,400400.0
2015-06-11,300.98,302.82,299.4,300.63,285800.0
2015-06-12,300.0,303.0,299.47,301.55,324300.0
2015-06-15,298.59,300.81,295.64,299.46,271800.0
2015-06-16,299.66,301.02,297.16,297.42,315300.0
2015-06-17,297.54,299.75,296.61,297.7,281000.0
2015-06-18,298.85,301.95,297.28,301.27,405600.0
2015-06-19,300.62,303.27,298.81,302.71,422000.0
2015-06-22,303.96,307.1,301.68,305.5,416600.0
2015-06-23,306.26,306.87,302.68,304.18,324300.0
2015-06-24,304.2,305.5,301.24,303.39,336800.0
2015-06-25,303.95,306.1,302.4,303.97,459200.0
2015-06-26,304.25,304.25,301.49,302.95,761700.0
2015-06-29,301.75,301.75,291.33,291.45,483400.0
2015-06-30,294.05,294.7,289.38,291.94,469500.0
2015-07-01,294.07,295.5,291.28,292.86,328600.0
2015-07-02,294.81,296.27,291.87,295.72,276800.0
2015-07-06,293.68,297.71,291.1,295.9,373900.0
2015-07-07,296.08,299.73,292.8,298.96,394000.0
2015-07-08,296.03,298.48,293.15,293.69,480300.0
2015-07-09,296.78,298.17,294.79,295.44,471800.0
2015-07-10,300.46,302.39,296.58,301.93,407700.0
2015-07-13,304.95,305.5,302.21,304.16,232100.0
2015-07-14,304.6,307.78,303.39,304.9,236400.0
2015-07-15,305.22,305.22,299.22,300.03,467400.0
2015-07-16,302.42,306.26,300.44,302.15,476200.0
2015-07-17,301.7,304.38,299.93,302.37,341300.0
2015-07-20,302.24,304.76,301.82,302.66,275000.0
2015-07-21,303.95,304.99,298.71,299.57,297100.0
2015-07-22,298.7,302.86,298.7,301.69,456100.0
2015-07-23,298.67,298.98,283.72,284.34,1409900.0
2015-07-24,284.65,285.0,268.71,274.11,1558400.0
2015-07-27,273.07,273.66,266.28,267.0,603600.0
2015-07-28,267.52,272.57,264.96,270.81,656700.0
2015-07-29,272.05,275.22,271.5,272.85,948500.0
2015-07-30,271.2,273.34,267.15,272.51,472300.0
2015-07-31,273.32,275.24,270.31,275.04,429700.0
2015-08-03,275.28,276.72,271.31,273.4,420000.0
2015-08-04,273.56,276.02,271.65,275.8,437900.0
2015-08-05,277.67,280.8,275.22,275.56,265800.0
2015-08-06,275.6,275.6,268.71,269.47,306000.0
2015-08-07,269.14,272.61,267.15,270.16,372200.0
2015-08-10,272.72,274.12,270.11,270.24,414700.0
2015-08-11,268.39,271.03,265.0,267.99,639900.0
2015-08-12,267.07,270.36,264.75,269.53,528400.0
2015-08-13,270.12,270.88,268.09,268.92,298000.0
2015-08-14,270.53,275.21,269.3,273.78,490000.0
2015-08-17,272.24,273.19,269.46,271.32,455500.0
2015-08-18,270.94,275.13,270.76,273.49,296400.0
2015-08-19,271.61,273.29,268.16,268.57,294900.0
2015-08-20,268.5,270.83,266.54,266.63,377800.0
2015-08-21,264.63,266.08,258.97,259.22,548700.0
2015-08-24,245.57,255.0,241.91,247.05,788400.0
2015-08-25,253.3,258.48,247.06,247.4,671600.0
2015-08-26,253.15,258.13,249.03,257.81,611700.0
2015-08-27,260.2,265.0,259.08,263.83,620400.0
2015-08-28,262.73,263.61,259.36,262.25,405500.0
2015-08-31,261.39,262.0,257.01,257.19,479600.0
2015-09-01,251.13,257.13,250.62,252.4,511400.0
2015-09-02,256.3,256.3,252.17,255.51,430400.0
2015-09-03,256.92,259.94,256.0,256.76,351900.0
2015-09-04,253.09,254.89,249.47,250.5,436200.0
2015-09-08,255.6,257.68,253.69,257.52,528400.0
2015-09-09,258.73,259.5,251.23,251.7,345000.0
2015-09-10,250.07,253.98,249.72,251.74,382800.0
2015-09-11,251.16,253.65,249.02,253.63,365800.0
2015-09-14,253.72,255.48,250.83,251.91,313900.0
2015-09-15,253.06,258.29,251.14,256.43,352800.0
2015-09-16,256.61,257.55,253.59,254.4,318200.0
2015-09-17,254.35,258.29,251.45,255.35,377300.0
2015-09-18,254.99,254.99,250.89,251.66,572900.0
2015-09-21,253.47,256.98,252.09,255.99,283800.0
2015-09-22,253.16,254.62,248.83,252.38,437600.0
2015-09-23,252.77,255.67,250.42,254.84,296200.0
2015-09-24,252.35,254.55,250.22,254.02,582600.0
2015-09-25,256.94,261.36,255.29,259.3,605600.0
2015-09-28,256.55,256.97,249.27,249.47,636800.0
2015-09-29,249.31,252.11,247.52,251.2,552100.0
2015-09-30,254.44,259.84,254.44,258.98,603800.0
2015-10-01,260.45,263.69,258.4,262.35,635300.0
2015-10-02,258.76,269.75,256.24,269.35,613000.0
2015-10-05,270.97,276.18,270.05,275.77,483400.0
2015-10-06,274.9,277.25,274.1,275.61,489000.0
2015-10-07,277.47,280.99,275.78,278.27,457400.0
2015-10-08,277.28,280.48,275.09,279.41,361000.0
2015-10-09,279.37,281.85,278.0,280.12,238300.0
2015-10-12,279.85,280.9,277.41,279.0,334200.0
2015-10-13,277.28,280.27,275.53,275.81,318800.0
2015-10-14,275.9,280.14,274.69,276.66,420300.0
2015-10-15,279.0,279.81,274.91,278.18,324500.0
2015-10-16,279.05,279.39,276.3,278.16,264600.0
2015-10-19,276.83,280.72,276.07,280.07,316000.0
2015-10-20,280.1,281.62,277.69,280.99,386100.0
2015-10-21,282.36,282.36,273.75,275.93,545300.0
2015-10-22,285.15,298.06,283.35,294.49,950300.0
2015-10-23,296.11,297.37,291.91,295.87,758700.0
2015-10-26,295.03,296.62,293.86,294.92,470800.0
2015-10-27,293.13,295.99,292.0,293.55,297700.0
2015-10-28,294.01,298.37,292.19,298.27,304200.0
2015-10-29,297.89,299.11,295.6,297.85,415400.0
2015-10-30,298.53,300.56,297.02,297.31,307800.0
2015-11-02,296.19,301.11,296.19,298.42,332800.0
2015-11-03,297.65,302.24,293.87,300.59,403700.0
2015-11-04,301.14,303.75,299.64,301.87,448600.0
2015-11-05,300.83,301.85,298.46,299.11,439200.0
2015-11-06,300.96,301.78,295.03,297.95,347100.0
2015-11-09,297.05,298.96,292.52,296.73,421700.0
2015-11-10,295.77,298.73,294.74,297.57,342400.0
2015-11-11,298.92,298.92,293.75,294.73,333900.0
2015-11-12,293.13,294.55,290.82,290.82,423700.0
2015-11-13,290.0,290.67,285.31,286.35,448700.0
2015-11-16,285.7,288.44,284.7,287.14,438200.0
2015-11-17,287.75,288.57,283.8,284.49,525000.0
2015-11-18,284.84,288.04,284.13,287.7,303400.0
2015-11-19,287.27,288.77,284.5,286.07,276100.0
2015-11-20,287.51,287.95,285.27,286.61,249700.0
2015-11-23,286.74,287.13,285.0,285.66,190800.0
2015-11-24,283.02,285.93,281.01,285.45,240700.0
2015-11-25,288.37,288.59,283.59,286.4,162900.0
2015-11-27,286.33,287.44,284.0,285.53,94900.0
2015-11-30,286.72,287.79,284.19,286.85,286700.0
2015-12-01,287.38,290.3,286.36,289.16,273500.0
2015-12-02,288.11,289.74,284.81,285.37,344800.0
2015-12-03,286.39,288.08,279.81,281.25,304400.0
2015-12-04,281.25,284.46,279.52,284.22,468500.0
2015-12-07,282.59,284.39,281.08,282.86,282900.0
2015-12-08,280.3,283.61,279.54,282.15,355700.0
2015-12-09,280.38,284.96,278.09,280.09,322400.0
2015-12-10,281.02,283.0,278.91,280.16,258500.0
2015-12-11,275.43,278.16,266.37,268.1,714000.0
2015-12-14,267.88,270.27,265.08,269.99,468000.0
2015-12-15,271.55,272.67,266.12,267.99,475700.0
2015-12-16,270.4,273.91,268.45,273.3,330000.0
2015-12-17,275.23,277.59,268.77,269.06,333000.0
2015-12-18,267.92,270.02,265.26,266.94,616700.0
2015-12-21,269.61,270.65,267.24,270.53,264200.0
2015-12-22,270.62,275.93,269.58,273.7,253700.0
2015-12-23,275.91,279.06,274.4,278.35,351000.0
2015-12-24,278.22,279.98,276.5,278.2,98500.0
2015-12-28,276.98,278.53,275.41,278.14,134000.0
2015-12-29,280.0,280.95,277.4,280.3,163100.0
2015-12-30,279.73,279.73,276.18,276.77,196000.0
2015-12-31,275.42,279.89,275.0,276.57,267000.0
2016-01-04,271.16,272.15,268.99,271.71,477400.0
2016-01-05,272.45,275.94,271.4,274.05,363000.0
2016-01-06,271.32,274.6,269.18,270.18,514300.0
2016-01-07,266.94,269.98,261.54,262.03,605100.0
2016-01-08,263.02,264.37,256.75,257.01,583700.0
2016-01-11,257.27,258.02,250.98,253.12,824800.0
2016-01-12,255.64,258.19,251.67,257.29,457600.0
2016-01-13,258.69,258.69,247.71,248.59,496100.0
2016-01-14,249.05,258.03,247.21,256.24,824600.0
2016-01-15,247.21,256.23,247.21,251.28,747700.0
2016-01-19,255.21,257.05,248.49,251.97,778000.0
2016-01-20,247.22,249.09,237.1,246.97,719200.0
2016-01-21,247.01,252.96,245.71,248.81,509900.0
2016-01-22,252.6,254.41,247.7,249.22,646700.0
2016-01-25,248.58,249.67,244.6,245.39,488600.0
2016-01-26,246.05,250.82,243.62,249.6,930900.0
2016-01-27,249.14,253.07,245.64,246.8,757800.0
2016-01-28,226.1,231.4,197.83,199.0,3380900.0
2016-01-29,199.55,215.79,199.09,199.79,2661800.0
2016-02-01,200.0,209.34,198.86,206.56,1502700.0
2016-02-02,203.73,203.83,192.78,194.29,1658100.0
2016-02-03,196.23,196.84,190.07,194.7,1429200.0
2016-02-04,193.48,198.96,192.0,197.41,1164300.0
2016-02-05,196.9,198.76,184.67,187.22,1844200.0
2016-02-08,181.44,185.06,180.41,183.74,1792200.0
2016-02-09,181.21,182.84,176.63,177.12,1685800.0
2016-02-10,178.94,185.41,178.35,182.1,966600.0
2016-02-11,178.22,182.91,177.26,180.45,777600.0
2016-02-12,183.13,184.73,181.33,182.65,674300.0
2016-02-16,183.84,189.88,183.52,187.49,1145100.0
2016-02-17,188.85,194.39,187.82,192.41,788700.0
2016-02-18,195.05,201.63,195.0,197.43,863900.0
2016-02-19,197.34,204.49,195.0,204.36,1018400.0
2016-02-22,205.57,214.5,205.57,210.89,974900.0
2016-02-23,209.0,213.77,206.37,206.46,771300.0
2016-02-24,206.41,211.46,203.0,210.76,561800.0
2016-02-25,211.34,212.7,208.69,212.6,575500.0
2016-02-26,213.05,215.94,211.99,212.69,616000.0
2016-02-29,213.37,214.51,210.01,210.13,718700.0
2016-03-01,212.23,213.66,209.01,213.51,986100.0
2016-03-02,212.56,215.29,210.75,214.35,831300.0
2016-03-03,215.22,218.69,213.71,216.88,596400.0
2016-03-04,218.14,218.85,214.65,216.22,641200.0
2016-03-07,214.42,220.31,214.42,219.96,900700.0
2016-03-08,218.27,219.73,212.29,212.64,789900.0
2016-03-09,213.95,213.95,209.89,213.19,645600.0
2016-03-10,213.26,214.69,206.73,208.06,760800.0
2016-03-11,211.31,211.87,208.0,211.6,940500.0
2016-03-14,215.62,216.64,210.48,214.87,759200.0
2016-03-15,212.72,217.11,208.74,210.7,820800.0
2016-03-16,208.91,209.86,204.75,207.34,1226300.0
2016-03-17,207.99,208.88,204.86,205.56,1361700.0
2016-03-18,206.0,209.33,203.04,208.7,1763700.0
2016-03-21,209.08,212.01,207.32,210.3,629300.0
2016-03-22,208.7,210.62,207.43,210.32,657400.0
2016-03-23,210.56,213.1,209.45,209.8,601400.0
2016-03-24,209.42,212.35,207.11,211.77,550300.0
2016-03-28,212.64,213.1,209.45,211.04,443200.0
2016-03-29,210.1,213.36,209.28,212.77,623000.0
2016-03-30,214.42,218.0,214.25,215.96,677500.0
2016-03-31,215.32,220.63,213.88,220.0,894800.0
2016-04-01,218.69,221.82,216.5,221.12,506800.0
2016-04-04,221.2,221.58,214.54,214.71,610700.0
2016-04-05,212.08,212.16,207.64,210.0,1002100.0
2016-04-06,210.98,214.66,209.28,214.46,644500.0
